ID,crop name,month,year,CorpId,climate,Latitude,Longitude,Pressure, Wind NE, Wind SW
EP031949,wheat,june,2017,45, TS,22.0N,110.8W,1002,100,50
EP031949,wheat,july,2017,45, TS,22.9N,111.7W,1004,0,0
EP031949,wheat,august,2017,45, TS,23.8N,112.8W,1005,0,0
EP031949,wheat,september,2017,45, TS,24.8N,113.8W,1006,0,0
EP031949,wheat,october,2017,45, TS,25.5N,114.5W,1007,0,0
EP031949,wheat,november,2017,45, TS,26.2N,115.2W,1008,0,0
EP031949,wheat,december,2017,45, TS,27.6N,115.9W,1008,0,0
EP031949,wheat,january,2017,45, TS,28.6N,116.4W,1008,0,0
EP031949,wheat,february,2017,45, TS,28.4N,116.4W,1008,0,0
EP031949,wheat,march,2017,45, TS,28.2N,116.4W,1008,0,0
EP031949,wheat,april,2017,45, TS,28.1N,116.4W,1009,0,0
EP031949,wheat,may,2017,45, TS,28.0N,116.5W,1009,0,0
EP041949,wheat,june,2017,75, HU,19.3N,108.6W,1009,0,0
EP041949,wheat,july,2017,75, HU,20.2N,109.4W,1010,0,0
EP041949,wheat,august,2017,75, HU,21.2N,110.2W,1010,0,0
EP041949,wheat,september,2017,75, HU,21.8N,110.6W,1011,0,0
EP041949,wheat,october,2017,75, HU,22.5N,110.9W,1012,0,0
EP041949,wheat,november,2017,75, HU,23.2N,111.0W,1013,0,0
EP041949,wheat,december,2017,75, HU,23.9N,111.0W,1014,0,0
EP041949,wheat,january,2017,75, HU,24.3N,111.0W,1015,0,0
EP041949,wheat,february,2017,75, HU,24.5N,110.9W,1008,0,0
EP051949,wheat,march,2017,45, TS,15.4N,101.3W,1008,0,0
EP051949,wheat,april,2017,45, TS,15.8N,102.8W,1005,60,50
EP051949,wheat,may,2017,45, TS,16.5N,103.9W,1000,60,50
EP051949,wheat,june,2017,45, TS,17.7N,104.6W,1000,70,50
EP051949,wheat,july,2017,45, TS,18.7N,105.4W,1000,70,50
EP051949,wheat,august,2017,45, TS,19.0N,106.1W,1000,70,50
EP051949,wheat,september,2017,45, TS,19.3N,106.7W,997,70,50
EP051949,wheat,october,2017,45, TS,19.7N,107.3W,997,70,50
EP051949,wheat,november,2017,45, TS,20.1N,107.9W,997,70,60
EP061949,wheat,december,2017,25, TD,16.1N,107.4W,994,70,70
EP061949,wheat,january,2017,45, TS,17.0N,107.2W,991,70,60
EP061949,wheat,february,2017,75, HU,17.9N,107.3W,987,70,70
EP061949,wheat,march,2017,75, HU,18.6N,107.9W,981,70,70
EP061949,wheat,april,2017,45, TS,18.8N,108.8W,984,70,70
EP061949,wheat,may,2017,45, TS,18.2N,110.1W,990,70,70
EP061949,paddy,june,2017,25, TD,16.7N,111.6W,997,50,40
EP011950,maize,july,2017,75, HU,14.1N,98.2W,1002,50,25
EP011950,maize,august,2017,75, HU,14.2N,98.5W,1004,50,0
EP011950,maize,september,2017,75, HU,14.4N,98.9W,1004,50,0
EP011950,maize,october,2017,75, HU,14.8N,99.5W,1004,50,0
EP011950,maize,december,2017,75, HU,15.2N,99.9W,1004,50,0
EP011950,maize,january,2017,75, HU,15.4N,100.0W,1005,0,0
EP011950,maize,february,2017,75, HU,15.6N,100.1W,1005,0,0
EP011950,maize,march,2017,75, HU,15.9N,100.2W,1006,0,0
EP011950,maize,april,2017,75, HU,16.1N,100.3W,1006,0,0
EP011950,maize,may,2017,75, HU,16.1N,100.6W,1006,0,0
EP011950,maize,june,2017,75, HU,16.2N,101.1W,1007,0,0
EP011950,maize,july,2017,75, HU,16.4N,101.6W,1009,0,0
EP011950,maize,august,2017,75, HU,16.6N,102.1W,1010,0,0
EP011950,maize,september,2017,75, HU,16.8N,102.8W,1008,0,0
EP011950,maize,october,2017,75, HU,17.0N,103.6W,1007,0,0
EP011950,maize,november,2017,75, HU,17.4N,105.0W,1003,70,70
EP011950,maize,december,2017,75, HU,18.1N,106.0W,1000,70,70
EP011950,maize,january,2017,75, HU,19.0N,106.0W,993,70,70
EP011950,maize,february,2017,75, HU,20.0N,106.0W,990,75,75
EP011950,maize,march,2017,75, HU,20.8N,106.0W,987,75,75
EP011950,maize,april,2017,75, HU,21.5N,106.0W,983,75,75
EP021950,maize,may,2017,75, HU,18.4N,105.9W,977,90,90
EP021950,maize,june,2017,75, HU,19.0N,106.3W,970,90,105
EP021950,maize,july,2017,75, HU,19.5N,106.7W,964,90,120
EP021950,maize,august,2017,75, HU,20.2N,107.2W,957,105,120
EP021950,maize,september,2017,75, HU,20.7N,107.8W,960,120,120
EP021950,maize,october,2017,75, HU,21.0N,108.4W,964,120,120
EP021950,maize,november,2017,75, HU,21.1N,109.0W,980,105,105
EP021950,maize,december,2017,75, HU,21.2N,109.7W,987,105,75
EP021950,maize,january,2017,75, HU,21.4N,110.4W,994,105,60
EP021950,maize,february,2017,75, HU,21.8N,111.2W,998,105,40
EP021950,maize,march,2017,75, HU,22.3N,112.0W,1000,100,30
EP021950,maize,april,2017,75, HU,22.8N,112.8W,1002,90,0
EP021950,maize,may,2017,75, HU,23.3N,113.6W,1005,0,0
EP031950,maize,june,2017,75, HU,16.1N,108.0W,1007,0,0
EP031950,maize,july,2017,75, HU,16.4N,108.4W,1007,0,0
EP031950,maize,august,2017,75, HU,16.7N,108.9W,1007,0,0
EP031950,maize,september,2017,75, HU,17.1N,109.7W,1008,0,0
EP031950,maize,october,2017,75, HU,17.5N,110.5W,1008,0,0
EP031950,maize,november,2017,75, HU,17.8N,111.2W,1008,0,0
EP031950,maize,december,2017,75, HU,18.0N,112.0W,1008,0,0
EP031950,maize,january,2017,75, HU,18.3N,113.0W,1008,0,0
EP031950,maize,february,2017,75, HU,18.6N,114.0W,1008,0,0
EP031950,maize,march,2017,75, HU,18.7N,114.9W,1008,0,0
EP031950,maize,april,2017,75, HU,18.6N,115.9W,1007,0,0
EP031950,maize,may,2017,75, HU,18.4N,117.0W,1006,100,50
EP031950,maize,june,2017,75, HU,18.1N,118.0W,1005,100,50
CP011950,paddy,july,2017,25, TD,14.5N,144.5W,1000,100,50
CP011950,paddy,august,2017,25, TD,14.9N,144.8W,994,100,100
CP011950,paddy,september,2017,25, TD,15.2N,145.2W,992,110,90
CP011950,paddy,october,2017,25, TD,15.5N,145.6W,989,115,90
CP011950,paddy,november,2017,25, TD,15.7N,145.8W,990,115,90
CP011950,wheat,december,2017,45, TS,15.9N,146.3W,995,105,80
CP011950,wheat,january,2017,45, TS,16.3N,146.9W,996,150,50
CP011950,wheat,february,2017,45, TS,16.6N,147.6W,998,120,30
CP011950,wheat,march,2017,45, TS,16.8N,148.1W,998,120,30
CP011950,wheat,april,2017,45, TS,17.5N,149.1W,998,0,0
CP011950,wheat,may,2017,45, TS,18.3N,150.1W,1002,0,0
CP011950,wheat,june,2017,45, TS,19.3N,151.3W,1006,0,0
CP011950,wheat,july,2017,45, TS,20.1N,152.4W,1008,0,0
CP011950,wheat,august,2017,45, TS,20.7N,153.4W,1010,0,0
CP011950,wheat,september,2017,45, TS,21.4N,154.4W,1012,0,0
CP011950,wheat,october,2017,45, TS,22.3N,155.6W,1012,0,0
CP011950,maize,november,2017,75, HU,23.0N,156.6W,1012,0,0
CP011950,maize,december,2017,75, HU,23.7N,157.5W,1012,0,0
CP011950,maize,january,2017,75, HU,24.3N,158.4W,1012,0,0
CP011950,maize,february,2017,75, HU,24.7N,159.6W,1012,0,0
CP011950,maize,march,2017,75, HU,24.7N,160.8W,1012,0,0
CP011950,maize,april,2017,75, HU,24.5N,161.6W,1005,0,0
CP011950,maize,may,2017,75, HU,24.0N,162.4W,1004,60,60
CP011950,maize,june,2017,75, HU,23.6N,163.1W,990,60,60
CP011950,maize,july,2017,75, HU,23.3N,163.8W,987,60,60
CP011950,maize,august,2017,75, HU,22.8N,164.7W,979,75,75
CP011950,maize,september,2017,75, HU,22.6N,165.6W,979,75,75
CP011950,maize,october,2017,75, HU,22.5N,166.5W,983,75,75
CP011950,maize,november,2017,75, HU,22.5N,167.4W,987,75,75
CP011950,maize,december,2017,75, HU,22.6N,168.7W,997,70,70
CP011950,maize,january,2017,75, HU,22.7N,169.7W,1000,70,70
CP011950,wheat,february,2017,45, TS,23.2N,170.4W,1002,60,60
CP011950,wheat,march,2017,45, TS,23.6N,171.5W,1006,0,0
CP011950,wheat,april,2017,45, TS,24.1N,172.4W,1007,0,0
CP011950,wheat,may,2017,45, TS,24.7N,173.7W,1007,0,0
CP011950,wheat,june,2017,45, TS,25.3N,174.3W,1007,0,0
CP011950,wheat,july,2017,45, TS,26.0N,175.7W,1007,0,0
CP011950,wheat,august,2017,45, TS,26.7N,176.9W,1007,0,0
CP011950,paddy,september,2017,25, TD,27.4N,178.0W,1007,0,0
EP041950,wheat,october,2017,45, TS,17.5N,116.8W,1008,0,0
EP041950,wheat,november,2017,45, TS,17.7N,116.8W,1006,0,0
EP041950,paddy,december,2017,25, TD,18.0N,117.1W,1005,0,0
EP041950,paddy,january,2017,25, TD,18.4N,117.7W,1005,0,0
EP041950,paddy,february,2017,25, TD,18.8N,118.7W,1005,0,0
EP051950,maize,march,2017,75, HU,17.3N,131.5W,1005,0,0
EP051950,maize,april,2017,75, HU,17.7N,132.4W,1007,0,0
EP051950,maize,may,2017,75, HU,17.9N,133.2W,1007,0,0
EP051950,maize,june,2017,75, HU,17.9N,133.8W,1009,0,0
EP051950,maize,july,2017,75, HU,18.0N,134.4W,1009,0,0
EP051950,maize,august,2017,75, HU,18.1N,135.1W,1009,0,0
EP051950,maize,september,2017,75, HU,18.3N,135.8W,1009,0,0
EP051950,maize,october,2017,75, HU,18.5N,136.4W,1009,0,0
EP051950,maize,november,2017,75, HU,18.6N,137.0W,1009,0,0
EP051950,maize,december,2017,75, HU,18.7N,137.5W,1009,0,0
EP051950,maize,january,2017,75, HU,18.8N,138.1W,1009,0,0
EP051950,maize,february,2017,75, HU,18.9N,138.8W,1010,0,0
EP051950,maize,march,2017,75, HU,19.0N,139.6W,1010,0,0
EP051950,maize,april,2017,75, HU,19.1N,140.3W,1010,0,0
EP051950,maize,may,2017,75, HU,19.3N,141.1W,1006,0,0
EP051950,maize,june,2017,75, HU,19.5N,142.0W,1005,75,50
EP051950,maize,july,2017,75, HU,19.7N,143.0W,1002,75,50
EP061950,maize,august,2017,75, HU,14.0N,108.7W,998,55,55
EP061950,maize,september,2017,75, HU,14.7N,109.0W,995,55,55
EP061950,maize,october,2017,75, HU,15.2N,109.4W,998,55,55
EP061950,maize,november,2017,75, HU,15.4N,109.7W,1000,60,60
EP061950,maize,december,2017,75, HU,15.6N,110.0W,1000,55,55
EP061950,maize,january,2017,75, HU,15.9N,110.4W,1000,60,60
EP061950,maize,february,2017,75, HU,16.2N,110.9W,998,60,60
EP061950,maize,march,2017,75, HU,16.5N,111.4W,997,60,60
EP061950,maize,april,2017,75, HU,16.9N,111.9W,999,60,60
EP011951,wheat,may,2017,45, TS,11.0N,104.4W,1000,60,60
EP011951,wheat,june,2017,45, TS,11.5N,104.3W,1001,65,50
EP011951,wheat,july,2017,45, TS,12.1N,104.1W,1004,50,50
EP011951,wheat,august,2017,45, TS,12.8N,103.9W,1007,0,0
EP011951,wheat,september,2017,45, TS,13.6N,103.8W,1007,0,0
EP011951,wheat,october,2017,45, TS,14.3N,103.6W,1008,0,0
EP011951,wheat,november,2017,45, TS,15.0N,103.3W,1009,0,0
EP011951,wheat,december,2017,45, TS,15.5N,103.1W,1009,0,0
EP011951,wheat,january,2017,45, TS,15.9N,103.0W,1009,0,0
EP011951,wheat,february,2017,45, TS,16.4N,102.9W,1010,0,0
EP011951,wheat,march,2017,45, TS,16.9N,102.8W,1010,0,0
EP011951,wheat,april,2017,45, TS,17.4N,102.6W,1010,0,0
EP011951,wheat,may,2017,45, TS,17.8N,102.4W,1010,0,0
EP011951,wheat,june,2017,45, TS,18.1N,102.0W,1010,0,0
EP011951,wheat,july,2018,45, TS,18.3N,101.4W,1010,0,0
EP021951,maize,august,2018,75, HU,13.8N,95.7W,1011,0,0
EP021951,maize,september,2018,75, HU,14.7N,97.4W,1011,0,0
EP021951,maize,october,2018,75, HU,15.6N,98.8W,1011,0,0
EP021951,maize,november,2018,75, HU,16.7N,99.9W,1011,0,0
EP021951,maize,december,2018,75, HU,17.8N,100.5W,1012,0,0
EP031951,wheat,january,2018,45, TS,16.7N,100.8W,1013,0,0
EP031951,wheat,february,2018,45, TS,16.9N,101.5W,1008,0,0
EP031951,wheat,march,2018,45, TS,17.0N,102.2W,1007,0,0
EP031951,wheat,april,2018,45, TS,17.1N,103.0W,1005,60,0
EP031951,wheat,may,2018,45, TS,17.2N,103.8W,1003,60,30
EP041951,wheat,june,2018,45, TS,16.7N,104.1W,1000,75,50
EP041951,wheat,july,2018,45, TS,17.2N,105.0W,997,75,75
EP041951,wheat,august,2018,45, TS,17.8N,105.8W,994,75,50
EP041951,wheat,september,2018,45, TS,18.4N,106.4W,987,75,75
EP041951,wheat,october,2018,45, TS,19.0N,106.9W,984,75,75
EP051951,wheat,november,2018,45, TS,10.6N,94.5W,980,75,75
EP051951,wheat,december,2018,45, TS,11.0N,95.4W,976,90,90
EP051951,wheat,january,2018,45, TS,11.5N,96.2W,960,90,90
EP051951,wheat,february,2018,45, TS,11.9N,96.9W,943,100,120
EP051951,wheat,march,2018,45, TS,12.3N,97.7W,943,100,120
EP051951,wheat,april,2018,45, TS,12.5N,98.7W,948,100,120
EP051951,wheat,may,2018,45, TS,12.7N,100.1W,960,100,120
EP051951,wheat,june,2018,45, TS,12.9N,101.9W,970,90,90
EP051951,wheat,july,2018,45, TS,13.4N,103.8W,976,90,90
EP051951,wheat,august,2018,45, TS,14.2N,105.6W,984,90,90
EP051951,wheat,september,2018,45, TS,15.1N,107.3W,987,90,90
EP051951,wheat,october,2018,45, TS,16.0N,108.8W,991,90,60
EP051951,wheat,november,2018,45, TS,16.9N,110.2W,995,90,60
EP051951,wheat,december,2018,45, TS,17.3N,111.2W,999,75,50
EP051951,wheat,january,2018,45, TS,17.5N,112.2W,1002,0,0
EP051951,wheat,february,2018,45, TS,17.5N,113.8W,1002,0,0
EP051951,wheat,march,2018,45, TS,17.5N,115.3W,1004,0,0
EP051951,wheat,april,2018,45, TS,17.7N,116.6W,1005,0,0
EP051951,wheat,may,2018,45, TS,18.0N,117.8W,1007,0,0
EP051951,wheat,june,2018,45, TS,18.2N,118.7W,1007,0,0
EP051951,wheat,july,2018,45, TS,18.4N,119.7W,1010,0,0
EP051951,wheat,august,2018,45, TS,18.6N,121.0W,1010,0,0
EP051951,wheat,september,2018,45, TS,18.8N,122.3W,1010,0,0
EP051951,wheat,october,2018,45, TS,19.1N,123.5W,1011,0,0
EP051951,wheat,november,2018,45, TS,19.4N,124.8W,1011,0,0
EP051951,wheat,december,2018,45, TS,19.5N,125.8W,1009,0,0
EP051951,wheat,january,2018,45, TS,19.6N,126.8W,1010,0,0
EP051951,wheat,february,2018,45, TS,19.7N,127.9W,1009,0,0
EP051951,wheat,march,2018,45, TS,19.7N,129.0W,1009,0,0
EP061951,wheat,april,2018,45, TS,15.6N,101.0W,1009,0,0
EP061951,wheat,may,2018,45, TS,16.6N,103.4W,1009,0,0
EP061951,wheat,june,2018,45, TS,17.4N,105.1W,1009,0,0
EP061951,wheat,july,2018,45, TS,17.9N,106.2W,1009,0,0
EP061951,wheat,august,2018,45, TS,18.5N,107.3W,1010,0,0
EP061951,wheat,september,2018,45, TS,19.2N,108.5W,1011,0,0
EP061951,wheat,october,2018,45, TS,20.0N,109.7W,1005,0,0
EP061951,wheat,november,2018,45, TS,20.8N,110.9W,1004,0,0
EP061951,wheat,december,2018,45, TS,21.6N,112.0W,1004,50,75
EP061951,wheat,january,2018,45, TS,22.1N,113.6W,1003,50,75
EP061951,wheat,february,2018,45, TS,22.5N,115.1W,1003,50,75
EP061951,wheat,march,2018,45, TS,23.3N,115.6W,1003,50,75
EP061951,wheat,april,2018,45, TS,24.3N,115.8W,1003,50,75
EP061951,wheat,may,2018,45, TS,25.6N,115.9W,1002,50,75
EP061951,wheat,june,2018,45, TS,26.9N,116.0W,1003,50,75
EP061951,wheat,july,2018,45, TS,27.9N,116.0W,1004,0,0
EP061951,wheat,august,2018,45, TS,28.8N,116.0W,1004,0,0
EP061951,wheat,september,2018,45, TS,29.9N,115.8W,1004,0,0
EP061951,wheat,october,2018,45, TS,31.0N,115.5W,1004,0,0
EP061951,paddy,november,2018,25, TD,31.7N,115.3W,1004,0,0
EP061951,paddy,december,2018,25, TD,31.9N,115.2W,1004,0,0
EP071951,wheat,january,2018,45, TS,17.1N,105.6W,1003,0,0
EP071951,wheat,february,2018,45, TS,17.9N,105.6W,1002,0,0
EP071951,wheat,march,2018,45, TS,18.6N,105.7W,1000,60,60
EP071951,wheat,april,2018,45, TS,19.2N,105.7W,1000,0,0
EP071951,wheat,may,2018,45, TS,19.8N,105.8W,1000,0,0
EP071951,wheat,june,2018,45, TS,20.4N,106.2W,1000,0,0
EP071951,wheat,july,2018,45, TS,20.9N,106.7W,1000,0,60
EP071951,wheat,august,2018,45, TS,21.2N,106.9W,1000,60,60
EP071951,wheat,september,2018,45, TS,21.4N,107.2W,1000,60,60
EP071951,wheat,october,2018,45, TS,21.6N,107.5W,1002,60,0
EP071951,wheat,november,2018,45, TS,21.8N,107.8W,1003,60,0
EP071951,wheat,december,2018,45, TS,21.9N,108.1W,1000,75,30
EP071951,wheat,january,2018,45, TS,21.9N,108.4W,997,90,50
EP071951,wheat,february,2018,45, TS,21.8N,108.8W,994,90,50
EP071951,wheat,march,2018,45, TS,21.7N,109.4W,987,90,50
EP071951,wheat,april,2018,45, TS,21.7N,110.2W,991,90,50
EP071951,wheat,may,2018,45, TS,21.9N,110.9W,994,90,30
EP081951,maize,june,2018,75, HU,13.4N,100.7W,1000,75,30
EP081951,maize,july,2018,75, HU,13.5N,101.7W,1003,0,0
EP081951,maize,august,2018,75, HU,13.8N,102.6W,1006,0,0
EP081951,maize,september,2018,75, HU,14.3N,103.3W,1006,0,0
EP081951,maize,october,2018,75, HU,14.8N,104.0W,1007,0,0
EP081951,maize,november,2018,75, HU,15.2N,105.0W,1008,0,0
EP081951,maize,december,2018,75, HU,15.5N,106.1W,1008,0,0
EP081951,maize,january,2018,75, HU,15.7N,107.1W,1008,0,0
EP081951,maize,february,2018,75, HU,16.0N,108.0W,1009,0,0
EP081951,maize,march,2018,75, HU,16.3N,109.1W,1009,0,0
EP081951,maize,april,2018,75, HU,16.7N,110.2W,1009,0,0
EP081951,maize,may,2018,75, HU,17.2N,111.5W,1009,0,0
EP081951,maize,june,2018,75, HU,17.8N,112.8W,1009,0,0
EP081951,maize,july,2018,75, HU,18.2N,113.5W,1009,0,0
EP081951,maize,august,2018,75, HU,18.6N,114.1W,1009,0,0
EP081951,maize,september,2018,75, HU,19.0N,114.8W,1009,0,0
EP081951,maize,october,2018,75, HU,19.4N,115.6W,1009,0,0
EP081951,maize,november,2018,75, HU,19.6N,116.4W,1010,0,0
EP081951,maize,december,2018,75, HU,19.7N,117.3W,1011,0,0
EP081951,maize,january,2018,75, HU,19.8N,118.5W,1011,0,0
EP081951,maize,february,2018,75, HU,19.9N,119.9W,1005,0,0
EP091951,wheat,march,2018,45, TS,14.0N,104.0W,1004,0,0
EP091951,wheat,april,2018,45, TS,14.5N,105.0W,1003,0,0
EP091951,wheat,may,2018,45, TS,15.1N,105.9W,1002,60,60
EP091951,wheat,june,2018,45, TS,15.9N,106.7W,1001,60,60
EP091951,wheat,july,2018,45, TS,16.7N,107.2W,1000,60,60
EP091951,wheat,august,2018,45, TS,17.3N,107.6W,994,60,60
EP091951,wheat,september,2018,45, TS,17.9N,107.9W,991,70,70
EP091951,wheat,october,2018,45, TS,18.7N,108.2W,987,70,70
EP091951,wheat,november,2018,45, TS,19.6N,108.5W,979,80,80
EP091951,wheat,december,2018,45, TS,20.9N,108.8W,970,100,100
EP091951,wheat,january,2018,45, TS,22.2N,108.9W,957,90,90
EP091951,wheat,february,2018,45, TS,23.1N,108.9W,942,100,100
EP091951,wheat,march,2018,45, TS,24.0N,108.9W,930,100,100
EP011952,wheat,april,2018,45, TS,12.9N,112.7W,936,110,110
EP011952,wheat,may,2018,45, TS,13.5N,112.2W,936,110,110
EP011952,wheat,june,2018,45, TS,14.1N,111.7W,936,110,110
EP011952,wheat,july,2018,45, TS,14.8N,111.2W,936,110,80
EP011952,wheat,august,2018,45, TS,15.4N,110.7W,936,100,100
EP011952,wheat,september,2018,45, TS,16.0N,110.1W,948,100,100
EP011952,wheat,october,2018,45, TS,16.6N,109.4W,948,100,100
EP011952,wheat,november,2018,45, TS,17.1N,108.8W,950,100,100
EP011952,wheat,december,2018,45, TS,17.5N,108.1W,960,100,100
EP021952,wheat,january,2018,45, TS,14.6N,99.3W,960,100,100
EP021952,wheat,february,2018,45, TS,14.8N,100.0W,960,100,100
EP021952,wheat,march,2018,45, TS,15.1N,100.7W,960,100,100
EP021952,wheat,april,2018,45, TS,15.6N,101.3W,960,100,100
EP021952,wheat,may,2018,45, TS,16.1N,101.9W,962,100,100
EP021952,wheat,june,2018,45, TS,16.3N,102.7W,965,75,75
EP021952,wheat,july,2018,45, TS,16.5N,103.6W,970,75,75
EP021952,wheat,august,2018,45, TS,16.8N,104.2W,975,75,75
EP021952,wheat,september,2018,45, TS,17.1N,104.8W,987,75,75
EP021952,wheat,october,2018,45, TS,17.3N,105.7W,995,75,75
EP021952,wheat,november,2018,45, TS,17.4N,106.6W,1001,0,0
EP021952,wheat,december,2018,45, TS,17.5N,107.3W,1001,0,0
EP021952,wheat,january,2018,45, TS,17.7N,107.7W,1003,0,0
EP021952,wheat,february,2018,45, TS,18.0N,107.9W,1003,0,0
EP021952,wheat,march,2018,45, TS,18.3N,108.0W,1003,0,0
EP021952,wheat,april,2018,45, TS,18.6N,108.0W,1004,0,0
EP021952,wheat,may,2018,45, TS,19.0N,108.0W,1006,0,0
EP031952,wheat,june,2018,45, TS,19.5N,108.7W,1006,0,0
EP031952,wheat,july,2018,45, TS,20.2N,109.6W,1005,40,40
EP031952,wheat,august,2018,45, TS,20.7N,110.5W,1004,40,40
EP031952,wheat,september,2018,45, TS,21.1N,111.3W,1005,0,0
EP031952,wheat,october,2018,45, TS,21.4N,112.1W,1006,0,0
EP031952,jute,november,2018,45, TS,21.7N,112.9W,1007,0,0
EP031952,jute,december,2018,45, TS,22.0N,113.6W,1007,0,0
EP031952,jute,january,2018,45, TS,22.4N,114.4W,1007,0,0
EP031952,jute,february,2018,45, TS,22.8N,115.1W,1007,0,0
EP041952,jute,march,2018,75, HU,16.5N,115.0W,1007,0,0
EP041952,jute,april,2018,75, HU,16.8N,115.4W,1007,0,0
EP041952,jute,may,2018,75, HU,17.0N,115.8W,1006,0,0
EP041952,jute,june,2018,75, HU,17.1N,116.3W,1006,0,0
EP041952,jute,july,2018,75, HU,17.1N,116.8W,1006,0,0
EP041952,jute,august,2018,75, HU,17.2N,117.7W,1006,0,0
EP041952,jute,september,2018,75, HU,17.4N,118.6W,1004,40,40
EP041952,jute,october,2018,75, HU,17.6N,119.2W,1000,20,40
EP041952,jute,november,2018,75, HU,17.8N,119.8W,1000,25,45
EP041952,jute,december,2018,75, HU,18.2N,121.0W,1004,0,0
EP041952,maize,january,2018,75, HU,18.6N,122.2W,1006,0,0
EP041952,maize,february,2018,75, HU,19.2N,123.6W,1005,0,0
EP041952,maize,march,2018,75, HU,20.0N,125.0W,1005,0,0
EP051952,maize,april,2018,75, HU,17.6N,108.1W,1005,0,0
EP051952,maize,may,2018,75, HU,18.5N,109.3W,1004,0,0
EP051952,maize,june,2018,75, HU,19.2N,110.2W,1005,0,0
EP051952,maize,july,2018,75, HU,19.8N,110.9W,1005,0,0
EP051952,maize,august,2018,75, HU,20.4N,111.5W,1005,0,0
EP051952,maize,september,2018,75, HU,21.0N,111.9W,1005,0,0
EP051952,maize,october,2018,75, HU,21.5N,112.3W,1004,40,40
EP051952,maize,november,2018,75, HU,21.8N,112.9W,1003,40,40
EP051952,maize,december,2018,75, HU,22.0N,113.6W,1000,40,40
EP051952,maize,january,2018,75, HU,22.2N,114.2W,997,50,50
EP051952,maize,february,2018,75, HU,22.5N,114.8W,997,50,50
EP051952,maize,march,2018,75, HU,22.7N,115.5W,997,50,50
EP051952,maize,april,2018,75, HU,23.0N,116.3W,990,60,60
EP051952,maize,may,2018,75, HU,23.2N,116.9W,982,-999,-999
